Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
Findlay Medway,07/04/2008,11:00,B,3,1,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0
Restalrig Square,07/04/2008,11:05,C,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Marionville Avenue,07/04/2008,11:15,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Thornville Terrace,07/04/2008,11:27,B,2,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Seafield Street,07/04/2008,11:35,A,3,1,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
Beach Lane,07/04/2008,12:05,B,2,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Rosefield Street,07/04/2008,12:10,B,3,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
Joppa Pans,07/04/2008,12:16,B,2,1,1,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Milton Drive,07/04/2008,12:19,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Milton Road,07/04/2008,12:23,B,2,1,1,1,3,2,1,1,0,1,1,0,0,1,0,0,0,0,0
Meadowfield Drive,07/04/2008,12:35,A,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Baronscourt Terrace,07/04/2008,11:42,C,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Carlyle Place,07/04/2008,11:53,B,2,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
Upper Damside,28/04/2008,14:00,B,3,1,1,1,2,2,1,0,0,1,1,0,1,1,0,1,0,0,0
Belgrave Place,28/04/2008,14:10,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Learmonth Gardens,28/04/2008,14:20,B,2,1,1,1,2,2,1,0,0,1,0,0,1,1,0,0,1,0,0
Comely Bank,28/04/2008,14:30,B,2,1,1,1,2,2,1,0,0,1,0,1,1,1,0,1,0,0,0
Fettes Rise,28/04/2008,14:40,A,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Bedford Court,28/04/2008,14:45,B,2,2,1,1,2,2,1,0,0,1,1,0,1,1,0,1,0,1,0
