PI Code,PI Short Name,Q1 2008_09,Q2 2008_09,Q3 2008_09,Q4 2008_09,Q1 2009_10,Q2 2009_10,Q3 2009_10,Q4 2009_10,Q1 2010_11,Q2 2010_11,Q3 2010_11,Q4 2010_11,Q1 2011_12,Q2 2011_12,Q3 2011_12,Q4 2011_12,Q1 2012_13,Q2 2012_13,Q3 2012_13
NPAA0059,CIMS score (quarterly) - Citywide,69,68,71,70,70,70,69,69,72,74,68,70,69,68,64,67,72,72,69
NPAA0060,% of clean streets - Citywide,89%,89%,91%,90%,81%,88%,92%,89%,90%,94%,87%,93%,92%,91%,90%,96%,95%,95%,89%
NPAL0059,CIMS score (quarterly) - Almond,74,72,75,71,75,77,73,68,75,77,67,71,79,69,72,77,82,77,77
NPAL0060,% of clean streets - Almond,98%,93%,96%,90%,93%,98%,95%,89%,94%,96%,95%,98%,100%,93%,91%,95%,98%,95%,95%
NPCC0059,CIMS score (quarterly) - City Centre,63,63,66,64,62,70,66,66,62,64,59,64,59,64,63,67,66,69,60
NPCC0060,% of clean streets - City Centre,85%,88%,89%,91%,84%,89%,91%,85%,79%,86%,79%,87%,82%,87%,90%,98%,95%,91%,80%
NPCD0059,CIMS score (quarterly) - Craigentinny & Duddingston,73,65,71,74,67,70,67,70,66,74,62,76,67,69,68,65,72,68,65
NPCD0060,% of clean streets - Craigentinny & Duddingston,96%,88%,87%,100%,93%,89%,88%,94%,86%,97%,77%,94%,89%,100%,86%,88%,96%,92%,88%
NPFO0059,CIMS score (quarterly) - Forth,63,64,63,70,71,61,68,71,70,76,67,71,78,72,67,67,74,77,70
NPFO0060,% of clean streets - Forth,84%,81%,79%,97%,94%,80%,89%,96%,88%,93%,90%,100%,100%,89%,91%,90%,96%,100%,89%
NPIN0059,CIMS score (quarterly) - Inverleith,71,68,75,85,81,78,76,74,80,74,71,71,70,67,71,71,76,74,64
NPIN0060,% of clean streets - Inverleith,92%,91%,95%,97%,100%,100%,96%,93%,98%,95%,95%,95%,89%,92%,100%,95%,100%,100%,80%
NPLG0059,CIMS score (quarterly) - Liberton & Gilmerton,67,68,70,68,74,63,69,73,73,73,67,70,66,74,70,74,70,76,70
NPLG0060,% of clean streets - Liberton & Gilmerton,82%,89%,88%,89%,97%,79%,91%,97%,89%,100%,85%,90%,87%,97%,90%,100%,100%,97%,89%
NPPE0059,CIMS score (quarterly) - Pentlands,80,72,82,76,79,80,76,76,80,79,83,81,72,75,73,77,75,81,74
NPPE0060,% of clean streets - Pentlands,96%,93%,98%,95%,97%,93%,96%,90%,97%,99%,95%,95%,97%,97%,94%,99%,96%,100%,98.50%
NPWE0059,CIMS score (quarterly) - Western,70,70,75,70,67,72,72,67,72,75,74,67,78,68,72,69,74,72,69
NPWE0060,% of clean streets - Western,98%,90%,95%,91%,88%,87%,93%,88%,93%,96%,89%,92%,98%,92%,92%,92%,96%,100%,88%
NPPC0059,CIMS score (quarterly) - Portobello & Craigmillar,74,69,70,69,71,64,63,71,68,81,63,68,64,70,69,73,68,69,69
NPPC0060,% of clean streets - Portobello & Craigmillar,100%,94%,94%,94%,100%,79%,90%,91%,85%,96%,79%,97%,93%,93%,93%,100%,96%,96%,93%
NPSW0059,CIMS score (quarterly) - South West,62,66,70,69,67,69,65,60,69,69,67,67,66,63,70,70,70,72,68
NPSW0060,% of clean streets - South West,77%,84%,89%,82%,82%,90%,87%,72%,87%,69%,84%,90%,92%,78%,92%,98%,91.50%,94%,86%
NPSC0059,CIMS score (quarterly) - South Central,70,70,70,72,74,69,70,76,69,77,69,67,70,70,68,68,75,69,68
NPSC0060,% of clean streets - South Central,91%,95%,90%,92%,91%,88%,97%,97%,93%,100%,90%,92%,95%,95%,88%,96%,100%,90%,89.50%
NPLE0059,CIMS score (quarterly) - Leith,60,62,64,61,64,62,63,65,70,70,66,64,63,64,61,66,61,64,67
NPLE0060,% of clean streets - Leith,79%,80%,86%,73%,88%,76%,86%,88%,87%,91%,84%,94%,81%,87%,83%,94%,82.50%,89.50%,87.50%
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
