1,Royston Mains Gardens,EH5 1NL,55.9764452,-3.2321792,7
2,Albion Place,EH7 5QS,55.9622466,-3.1664719,12
3,Comely Green Cres,EH7 5TB,55.9560426,-3.1653133,1
4,Ravelston Dykes,EH12 6HF,55.9513036,-3.239206,15
5,Glasgow Road,EH12 8LH,55.9410967,-3.3066194,9
6,Candlemaker Crescent ,EH17 8TX,55.9083639,-3.1264931,16
7,Elliot Park ,EH14 1DY,55.915434,-3.2450112,2
8,Standingstane Road,EH30 9UB,55.9743505,-3.3740628,14
9,Scotstoun Park,EH30 9PQ,55.9817551,-3.3938545,14
10,Cesser Crescent,EH14 1SP,55.9310472,-3.2486591,2
11,Frazer Avenue ,EH5 2AG,55.9726376,-3.2168065,7
12,Wester Broom Gardens,EH12 7RA,55.9369608,-3.2939246,9
13,Turnhouse Road,EH12 0AU,55.944972,-3.3237601,14
14,Craigleith Rise,EH4 3TR,55.9514301,-3.2477734,15
15,Braehead Drive,EH4 6BR,55.964383,-3.3116283,14
16,Shandon Road,EH11 1QG,55.9332883,-3.2323595,2
17,Pilton Avenue,EH5 2HD,55.9728284,-3.2303895,7
18,Wester Coates Place,EH12 5YG,55.9484473,-3.22926,15
19,Barnton Park Wood,EH4 6EW,55.9612485,-3.2989812,14
20,Kirkgate Currie,EH14 6AR,55.8915547,-3.3051067,10
21,Hillwood Avenue,EH28 8QB,55.9357903,-3.3866745,14
22,Malleny Avenue,EH14 7EJ,55.8798196,-3.3378596,10
23,East Silvermills Lane,EH3 5BD,55.9591812,-3.204813,4
24,Alemoor Park,EH7 6US,55.9652671,-3.1575863,8
25,Fishwiwes Causeway,EH7 6GH,55.9546161,-3.1269441,11
26,Cluny Place,EH10 4RH,55.9264456,-3.2011055,3
27,Newton Street,EH11 1TQ,55.9378762,-3.2307985,13
28,East Market Street,EH1 1DH,55.9514953,-3.1851808,6
29,Barn Park,EH14 3HX,55.9113741,-3.2789957,10
30,Teviot Dale Place,EH3 5HY,55.9616298,-3.2082103,4
31,Cheyne Street,EH4 1JA,55.9585955,-3.2128399,4
32,Etterick Road,EH10 5EP,55.9337172,-3.2204404,3
33,Roseneath Place,EH9 1JP,55.9389509,-3.1933534,3
34,Murrayburn Gate,EH14 2RW,55.9161152,-3.2836435,13
35,Arnott Gardens,EH14 2LB,55.9191083,-3.2592647,10
36,Kaimes Road,EH12 6JT,55.9449509,-3.2738058,15
37,Ardshiel Avenue,EH4 7LH,55.9529428,-3.2906099,9
38,Gogar Station,EH12 9BS,55.9291069,-3.325867,14
39,Robertson Close,EH1 1LU,55.9484987,-3.1859952,6
40,Durham Avenue,EH15 1RY,55.9462011,-3.1256204,1
41,Priory Grove,EH30 9LZ,55.9852464,-3.3994795,14
42,Parliament Square,EH1 1RF,55.9492163,-3.1902983,6
43,Echline Drive,EH30 9UX,55.9865049,-3.4155481,14
44,Gillsland Road,EH10 5BL,55.9320996,-3.2216976,3
45,Roull Road,EH12 7JW,55.9359031,-3.2808765,15
46,Torduff Road,EH13 0PA,55.8959358,-3.270954,5
47,Sighthill Drive,EH11 4QJ,55.9197606,-3.2831379,13
48,Dalmahoy Crescent,EH14 7BX,55.8903051,-3.3413003,10
49,Broughton Road,EH7 4QH,55.9653655,-3.1899846,12
50,Walkers Wynd,EH14 2TD,55.916778,-3.2764967,13
51,Admiral Terrace,EH10 4JH,55.9382206,-3.2083627,3
52,Braid Hills Cres,EH10 6LJ,55.9168728,-3.2097538,3
53,Bramble Drive,EH4 8BW,55.9579551,-3.3048606,9
54,Hyvot Mill Drive,EH17 8NE,55.9053804,-3.1416107,16
55,Jane Terrace,EH6 5NA,55.9700627,-3.1752044,8
56,Marchbank Way,EH14 7LW,55.8804316,-3.3408033,10
57,The Crescent (Morningside Rd),EH10 5NX,55.9241702,-3.211977,3
58,Meggetland View,EH14 1XT,55.9263463,-3.2370096,2
59,Barnton Park Crescent ,EH4 6EP,55.9612781,-3.2967243,14
60,Cadiz Street,EH6 7BJ,55.9749128,-3.1642983,8
61,Greendykes Loan,EH16 4HG,55.928411,-3.1285687,11
62,Newmains Farm La,EH1 3EG,55.953252,-3.188267,6
63,Upper Damside,EH4 3AY,55.9524482,-3.2187621,4
64,Hillwood Road,EH28 8PU,55.9376249,-3.3902866,14
65,Cba,EH1 3EG,55.953252,-3.188267,6
66,Glenogle Road,EH3 5HT,55.9614081,-3.2062933,4
67,Thornville Terrace,EH6 8DB,55.9663811,-3.162518,8
68,Succoth Gardens,EH12 6BS,55.9499809,-3.2379987,15
69,Kingsknowe Park,EH14 2JQ,55.9164015,-3.2608986,10
70,Telford Gardens ,EH4 2PU,55.9641121,-3.2393939,4
71,Beach Lane,EH15 1HU,55.9547073,-3.1139908,11
72,Royal Park Terrace,EH8 8JB,55.9547061,-3.1602776,1
73,Brighouse Park Cross,EH4 6GZ,55.9758138,-3.2952909,14
74,West Mains Road,EH9 3JE,55.9245732,-3.1772136,17
75,Muirhouse Parkway,EH4 5JJ,55.9739092,-3.259968,7
76,Monkbarns Gardens,EH16 6DG,55.9162086,-3.1584711,16
77,Bell Place,EH3 5HU,55.9617814,-3.2068537,4
78,Chesser Crescent,EH14 1SP,55.9310472,-3.2486591,2
79,Glenallan Drive,EH16 5RA,55.9235111,-3.1571756,16
80,Brae Park,EH4 6DJ,55.9658973,-3.3112088,14
81,Park Terrace,EH4 1DP,55.9603104,-3.2175518,4
82,Parkhead View,EH11 4RU,55.9226301,-3.2781033,13
83,Craiglockhart Crescent,EH14 1EZ,55.9189932,-3.2450619,2
84,Cameron Park,EH16 5LA,55.930226,-3.1614447,17
85,Murrayfield Road,EH12 6ER,55.9480684,-3.247708,15
86,Bread Street Lane,EH3 9AF,55.9455499,-3.20454,6
87,Rillbank Crescent,EH9 1LJ,55.9393939,-3.1896887,17
88,Spittal Street,EH3 9AR,55.9462207,-3.2031494,6
89,Dalkeith Road,EH16 5AH,55.9352504,-3.1689161,17
90,Drum Brae Gardens,EH12 8SY,55.9486438,-3.2936983,9
91,Gladstone Place,EH6 7LX,55.9699043,-3.1591206,8
92,Forkenford,EH16 4EZ,55.936412,-3.1442467,17
93,Bonnington Avenue,EH6 5QH,55.972138,-3.1880854,12
94,Mcleod Street,EH11 2ND,55.9395389,-3.2308777,13
95,Durar Drive,EH4 7HW,55.952542,-3.2913325,9
96,Kyle Place,EH7 5XH,55.956651,-3.1715014,6
97,Fairbrae,EH11 3GZ,55.9270074,-3.27284,13
98,Westfield Court,EH11 2RH,55.9369865,-3.2425772,13
99,Meadowbank Terrace,EH8 7AJ,55.9547911,-3.1562781,1
100,Albany Lane,EH1 3QP,55.9576799,-3.1911016,6
101,Cammo Brae,EH4 8ET,55.9594634,-3.3142107,14
102,South Mellis Park,EH8 7TP,55.9536473,-3.1381538,1
103,Lasswade Road,EH17 8JA,55.9036484,-3.1480282,16
104,Silverknowes Court,EH4 5NP,55.9697765,-3.2694854,14
105,Parkhead Loan,EH11 4RE,55.9246062,-3.2701037,13
106,Riddles Close,EH1 3EG,55.953252,-3.188267,6
107,Rannoch Place,EH4 7HH,55.9550245,-3.2845449,9
108,Thomson Grove,EH14 5HZ,55.9006913,-3.301459,10
109,Newington Road,EH9 1QU,55.9382354,-3.1787945,17
110,Liberton Road,EH16 5QT,55.9230812,-3.1671113,16
111,House O'Hill Row,EH4 2AW,55.9628068,-3.2575141,4
112,Barnton Loan,EH4 6JQ,55.9663258,-3.2825997,14
113,Corslet Crescent,EH14 5HR,55.8994997,-3.304657,10
114,Oxgangs Broadway,EH13 9LQ,55.9056481,-3.2227626,5
115,Wardieburn Place South,EH5 1DX,55.977295,-3.2266429,7
116,Hallcroft Rise,EH28 8RX,55.9212899,-3.3901983,10
117,Broad Wynd,EH6 6QZ,55.9756477,-3.1696753,8
118,Buckstone Green,EH10 6UF,55.9062104,-3.2006348,5
119,Salvesen Street,EH4 5JX,55.9754122,-3.2554493,7
120,Craighouse Avenue,EH10 5LN,55.9240201,-3.2228475,3
121,Strachan Gardens,EH4 3RY,55.957944,-3.2611173,4
122,Burnets Close,EH1 1QU,55.9497514,-3.1889794,6
123,West Werberside,EH4 1SX,55.9671532,-3.2301019,4
124,Kerr Street,EH3 6EG,55.957626,-3.2080435,4
125,Academy Street,EH6 7EF,55.9705437,-3.1700379,8
126,Meadowfield Gardens,EH8 7NT,55.9441421,-3.1425291,1
127,Stuart Wynd,EH12 8XU,55.9488362,-3.3035919,9
128,St Leonards Bank,EH8 9SQ,55.9429464,-3.1763184,17
129,Carmel Road,EH29 9DD,55.9552028,-3.4087083,14
130,Rowantree Grove,EH14 5AT,55.8936329,-3.3246973,10
131,Seacot,EH6 7QG,55.9682664,-3.1501905,8
132,Redford Walk,EH13 0AG,55.9064085,-3.2430596,5
133,Currievale Drive,EH14 5RP,55.89691,-3.3240963,10
134,Alnwickhill Grove,EH16 6YA,55.9052456,-3.1712442,16
