Royston Mains Gardens,16/12/2009,3,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0
Albion Place,29/04/2010,2,1,1,1,1,1,2,0,0,1,1,1,0,1,0,0,0,0,0
Comely Green Cres,,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
Ravelston Dykes,27/01/2011,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Glasgow Road,23/06/2009,3,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
Candlemaker Crescent ,11/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Elliot Park ,,2,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Standingstane Road,23/06/2009,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Belhaven Terrace,09/01/2009,3,2,1,1,1,2,1,1,0,1,0,0,1,1,0,0,0,1,0
Scotstoun Park,09/06/2008,3,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1
Cesser Crescent,16/09/2008,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Frazer Avenue ,11/06/2010,3,1,1,1,2,2,1,0,0,1,1,0,1,1,0,0,0,0,0
Wester Broom Gardens,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Turnhouse Road,15/06/2010,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Craigleith Rise,12/10/2010,3,1,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Braehead Drive,21/10/2008,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Shandon Road,27/01/2010,3,2,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Pilton Avenue,,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Wester Coates Place,09/12/2008,3,1,1,1,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0
Telferton East,08/09/2009,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Barnton Park Wood,09/06/2008,3,2,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,1,1
