1,Royston Mains Gardens,EH5 1NL,7,55.9764452,-3.2321792
2,Albion Place,EH7 5QS,12,55.9622466,-3.1664719
3,Comely Green Cres,EH7 5TB,1,55.9560426,-3.1653133
4,Ravelston Dykes,EH12 6HF,15,55.9513036,-3.239206
5,Glasgow Road,EH12 8LH,9,55.9410967,-3.3066194
6,Candlemaker Crescent ,EH17 8TX,16,55.9083639,-3.1264931
7,Elliot Park ,EH14 1DY,2,55.915434,-3.2450112
8,Standingstane Road,EH30 9UB,14,55.9743505,-3.3740628
9,Scotstoun Park,EH30 9PQ,14,55.9817551,-3.3938545
10,Cesser Crescent,EH14 1SP,2,55.9310472,-3.2486591
11,Frazer Avenue ,EH5 2AG,7,55.9726376,-3.2168065
12,Wester Broom Gardens,EH12 7RA,9,55.9369608,-3.2939246
13,Turnhouse Road,EH12 0AU,14,55.944972,-3.3237601
14,Craigleith Rise,EH4 3TR,15,55.9514301,-3.2477734
15,Braehead Drive,EH4 6BR,14,55.964383,-3.3116283
16,Shandon Road,EH11 1QG,2,55.9332883,-3.2323595
17,Pilton Avenue,EH5 2HD,7,55.9728284,-3.2303895
18,Wester Coates Place,EH12 5YG,15,55.9484473,-3.22926
19,Barnton Park Wood,EH4 6EW,14,55.9612485,-3.2989812
20,Kirkgate Currie,EH14 6AR,10,55.8915547,-3.3051067
21,Hillwood Avenue,EH28 8QB,14,55.9357903,-3.3866745
22,Malleny Avenue,EH14 7EJ,10,55.8798196,-3.3378596
23,East Silvermills Lane,EH3 5BD,4,55.9591812,-3.204813
24,Alemoor Park,EH7 6US,8,55.9652671,-3.1575863
25,Fishwiwes Causeway,EH7 6GH,11,55.9546161,-3.1269441
26,Cluny Place,EH10 4RH,3,55.9264456,-3.2011055
27,Newton Street,EH11 1TQ,13,55.9378762,-3.2307985
28,East Market Street,EH1 1DH,6,55.9514953,-3.1851808
29,Barn Park,EH14 3HX,10,55.9113741,-3.2789957
30,Teviot Dale Place,EH3 5HY,4,55.9616298,-3.2082103
31,Cheyne Street,EH4 1JA,4,55.9585955,-3.2128399
32,Etterick Road,EH10 5EP,3,55.9337172,-3.2204404
33,Roseneath Place,EH9 1JP,3,55.9389509,-3.1933534
34,Murrayburn Gate,EH14 2RW,13,55.9161152,-3.2836435
35,Arnott Gardens,EH14 2LB,10,55.9191083,-3.2592647
36,Kaimes Road,EH12 6JT,15,55.9449509,-3.2738058
37,Ardshiel Avenue,EH4 7LH,9,55.9529428,-3.2906099
38,Gogar Station,EH12 9BS,14,55.9291069,-3.325867
39,Robertson Close,EH1 1LU,6,55.9484987,-3.1859952
40,Durham Avenue,EH15 1RY,1,55.9462011,-3.1256204
41,Priory Grove,EH30 9LZ,14,55.9852464,-3.3994795
42,Parliament Square,EH1 1RF,6,55.9492163,-3.1902983
43,Echline Drive,EH30 9UX,14,55.9865049,-3.4155481
44,Gillsland Road,EH10 5BL,3,55.9320996,-3.2216976
45,Roull Road,EH12 7JW,15,55.9359031,-3.2808765
46,Torduff Road,EH13 0PA,5,55.8959358,-3.270954
47,Sighthill Drive,EH11 4QJ,13,55.9197606,-3.2831379
48,Dalmahoy Crescent,EH14 7BX,10,55.8903051,-3.3413003
49,Broughton Road,EH7 4QH,12,55.9653655,-3.1899846
50,Walkers Wynd,EH14 2TD,13,55.916778,-3.2764967
51,Admiral Terrace,EH10 4JH,3,55.9382206,-3.2083627
52,Braid Hills Cres,EH10 6LJ,3,55.9168728,-3.2097538
53,Bramble Drive,EH4 8BW,9,55.9579551,-3.3048606
54,Hyvot Mill Drive,EH17 8NE,16,55.9053804,-3.1416107
55,Jane Terrace,EH6 5NA,8,55.9700627,-3.1752044
56,Marchbank Way,EH14 7LW,10,55.8804316,-3.3408033
57,The Crescent (Morningside Rd),EH10 5NX,3,55.9241702,-3.211977
58,Meggetland View,EH14 1XT,2,55.9263463,-3.2370096
59,Barnton Park Crescent ,EH4 6EP,14,55.9612781,-3.2967243
60,Cadiz Street,EH6 7BJ,8,55.9749128,-3.1642983
61,Greendykes Loan,EH16 4HG,11,55.928411,-3.1285687
62,Newmains Farm La,EH1 3EG,6,55.953252,-3.188267
63,Upper Damside,EH4 3AY,4,55.9524482,-3.2187621
64,Hillwood Road,EH28 8PU,14,55.9376249,-3.3902866
65,Cba,EH1 3EG,6,55.953252,-3.188267
66,Glenogle Road,EH3 5HT,4,55.9614081,-3.2062933
67,Thornville Terrace,EH6 8DB,8,55.9663811,-3.162518
68,Succoth Gardens,EH12 6BS,15,55.9499809,-3.2379987
69,Kingsknowe Park,EH14 2JQ,10,55.9164015,-3.2608986
70,Telford Gardens ,EH4 2PU,4,55.9641121,-3.2393939
71,Beach Lane,EH15 1HU,11,55.9547073,-3.1139908
72,Royal Park Terrace,EH8 8JB,1,55.9547061,-3.1602776
73,Brighouse Park Cross,EH4 6GZ,14,55.9758138,-3.2952909
74,West Mains Road,EH9 3JE,17,55.9245732,-3.1772136
75,Muirhouse Parkway,EH4 5JJ,7,55.9739092,-3.259968
76,Monkbarns Gardens,EH16 6DG,16,55.9162086,-3.1584711
77,Bell Place,EH3 5HU,4,55.9617814,-3.2068537
78,Chesser Crescent,EH14 1SP,2,55.9310472,-3.2486591
79,Glenallan Drive,EH16 5RA,16,55.9235111,-3.1571756
80,Brae Park,EH4 6DJ,14,55.9658973,-3.3112088
81,Park Terrace,EH4 1DP,4,55.9603104,-3.2175518
82,Parkhead View,EH11 4RU,13,55.9226301,-3.2781033
83,Craiglockhart Crescent,EH14 1EZ,2,55.9189932,-3.2450619
84,Cameron Park,EH16 5LA,17,55.930226,-3.1614447
85,Murrayfield Road,EH12 6ER,15,55.9480684,-3.247708
86,Bread Street Lane,EH3 9AF,6,55.9455499,-3.20454
87,Rillbank Crescent,EH9 1LJ,17,55.9393939,-3.1896887
88,Spittal Street,EH3 9AR,6,55.9462207,-3.2031494
