1,Royston Mains Gardens,EH5 1NL,7,55.9764452,-3.2321792,16/12/2009,3,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0
2,Albion Place,EH7 5QS,12,55.9622466,-3.1664719,29/04/2010,2,1,1,1,1,1,2,0,0,1,1,1,0,1,0,0,0,0,0
3,Comely Green Cres,EH7 5TB,1,55.9560426,-3.1653133,,3,1,1,1,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0
4,Ravelston Dykes,EH12 6HF,15,55.9513036,-3.239206,27/01/2011,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Glasgow Road,EH12 8LH,9,55.9410967,-3.3066194,23/06/2009,3,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
6,Candlemaker Crescent ,EH17 8TX,16,55.9083639,-3.1264931,11/06/2009,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Elliot Park ,EH14 1DY,2,55.915434,-3.2450112,,2,1,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0
8,Standingstane Road,EH30 9UB,14,55.9743505,-3.3740628,23/06/2009,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Scotstoun Park,EH30 9PQ,14,55.9817551,-3.3938545,09/06/2008,3,1,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1
10,Cesser Crescent,EH14 1SP,2,55.9310472,-3.2486591,16/09/2008,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
11,Frazer Avenue ,EH5 2AG,7,55.9726376,-3.2168065,11/06/2010,3,1,1,1,2,2,1,0,0,1,1,0,1,1,0,0,0,0,0
12,Wester Broom Gardens,EH12 7RA,9,55.9369608,-3.2939246,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Turnhouse Road,EH12 0AU,14,55.944972,-3.3237601,15/06/2010,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Craigleith Rise,EH4 3TR,15,55.9514301,-3.2477734,12/10/2010,3,1,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0
15,Braehead Drive,EH4 6BR,14,55.964383,-3.3116283,21/10/2008,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
16,Shandon Road,EH11 1QG,2,55.9332883,-3.2323595,27/01/2010,3,2,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
17,Pilton Avenue,EH5 2HD,7,55.9728284,-3.2303895,,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
18,Wester Coates Place,EH12 5YG,15,55.9484473,-3.22926,09/12/2008,3,1,1,1,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0
19,Barnton Park Wood,EH4 6EW,14,55.9612485,-3.2989812,09/06/2008,3,2,1,1,4,2,1,0,0,1,0,1,0,1,0,0,0,1,1
20,Kirkgate Currie,EH14 6AR,10,55.8915547,-3.3051067,14/10/2008,4,1,1,1,2,2,1,0,0,0,1,1,0,1,0,0,0,0,0
21,Hillwood Avenue,EH28 8QB,14,55.9357903,-3.3866745,27/10/2009,3,1,1,1,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0
22,Malleny Avenue,EH14 7EJ,10,55.8798196,-3.3378596,25/02/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
23,East Silvermills Lane,EH3 5BD,4,55.9591812,-3.204813,28/04/2008,2,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
24,Alemoor Park,EH7 6US,8,55.9652671,-3.1575863,22/02/2011,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
