Recorded,StreetName,dog_foul,vandalism,graffiti,weeds,detritus,fly_posting,bin_count,number_overflowing,smoking,drinks,confectionary,fast_food,pedestrian_individual,business,domestic,construction,animal_faeces,other
07/04/2008,Findlay Medway,1,1,1,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0
07/04/2008,Restalrig Square,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
07/04/2008,Marionville Avenue,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
07/04/2008,Thornville Terrace,1,1,1,3,2,1,0,0,1,0,0,0,1,0,0,0,0,0
07/04/2008,Seafield Street,1,1,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0
07/04/2008,Beach Lane,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0
07/04/2008,Rosefield Street,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
07/04/2008,Joppa Pans,1,1,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0
07/04/2008,Milton Drive,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
07/04/2008,Milton Road,1,1,1,3,2,1,1,0,1,1,0,0,1,0,0,0,0,0
07/04/2008,Meadowfield Drive,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
07/04/2008,Baronscourt Terrace,1,1,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0
07/04/2008,Carlyle Place,2,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0
28/04/2008,Upper Damside,1,1,1,2,2,1,0,0,1,1,0,1,1,0,1,0,0,0
28/04/2008,Belgrave Place,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
28/04/2008,Learmonth Gardens,1,1,1,2,2,1,0,0,1,0,0,1,1,0,0,1,0,0
28/04/2008,Comely Bank,1,1,1,2,2,1,0,0,1,0,1,1,1,0,1,0,0,0
28/04/2008,Fettes Rise,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
28/04/2008,Bedford Court,2,1,1,2,2,1,0,0,1,1,0,1,1,0,1,0,1,0
28/04/2008,Veitchs Square,1,1,1,2,2,1,1,0,1,1,1,0,1,0,0,0,0,0
28/04/2008,Glanville Place,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
28/04/2008,East Silvermills Lane,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,0,0
28/04/2008,Graham Street,2,2,1,2,2,1,0,0,1,1,0,1,1,0,0,0,1,0
28/04/2008,Quilts Wynd,1,1,1,2,2,1,0,0,1,1,1,0,1,0,1,0,0,0
28/04/2008,Thornville Terrace,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
28/04/2008,Restalrig Square,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
28/04/2008,Argyle Street,1,2,1,2,2,1,0,0,1,1,1,1,1,0,1,0,1,0
28/04/2008,Cadiz Street,2,2,1,2,2,1,0,0,1,1,1,1,1,1,1,0,1,0
