Royston Mains Gardens
Albion Place
Comely Green Cres
Ravelston Dykes
Glasgow Road
Candlemaker Crescent 
Elliot Park 
Standingstane Road
Belhaven Terrace
Scotstoun Park
Cesser Crescent
Frazer Avenue 
Wester Broom Gardens
Turnhouse Road
Craigleith Rise
Braehead Drive
Shandon Road
Pilton Avenue
Wester Coates Place
Telferton East
Barnton Park Wood
Kirkgate Currie
Hillwood Avenue
Malleny Avenue
East Silvermills Lane
Alemoor Park
Fishwiwes Causeway
Cluny Place
Newton Street
East Market Street
Barn Park
Teviot Dale Place
Cheyne Street
Etterick Road
Roseneath Place
Murrayburn Gate
Arnott Gardens
Kaimes Road
Ardshiel Avenue
Gogar Station
Moray Place
Robertson Close
Durham Avenue
Priory Grove
Parliament Square
Echline Drive
Gillsland Road
Roull Road
Darnaway Street
Torduff Road
Sighthill Drive
Dalmahoy Crescent
Broughton Road
Walkers Wynd
Admiral Terrace
Braid Hills Cres
Bramble Drive
Hyvot Mill Drive
Jane Terrace
Marchbank Way
The Crescent (Morningside Rd)
Meggetland View
Barnton Park Crescent 
Cadiz Street
South East Lane
Newmills Road
Veitchs Square
Greendykes Loan
Newmains Farm La
Upper Damside
Hillwood Road
Cba
Glenogle Road
Thornville Terrace
High School Wynd
Succoth Gardens
Kingsknowe Park
Telford Gardens 
Beach Lane
Royal Park Terrace
Brighouse Park Cross
West Mains Road
Muirhouse Parkway
Hill Square
Monkbarns Gardens
Bell Place
Chesser Crescent
Glenallan Drive
Brae Park
Coillsdene Loan
Park Terrace
Muirwood Road
Parkhead View
Craiglockhart Crescent
Cameron Park
Murrayfield Road
Bread Street Lane
Rillbank Crescent
Spittal Street
Dalkeith Road
Drum Brae Gardens
Gladstone Place
Gorgie Cottages
Forkenford
Bonnington Avenue
Mcleod Street
Durar Drive
Kyle Place
Fairbrae
Westfield Court
Meadowbank Terrace
Albany Lane
Cammo Brae
South Mellis Park
Lasswade Road
Silverknowes Court
Parkhead Loan
Riddles Close
Eildon Street
Rannoch Place
Thomson Grove
Sunnyside
Rosebery Avenue, South Queensferry
Whitingford
Newington Road
Liberton Road
House O'Hill Row
Barnton Loan
Corslet Crescent
Oxgangs Broadway
Wardieburn Place South
Hallcroft Rise
Broad Wynd
Buckstone Green
Blackford Road
Salvesen Street
Craighouse Avenue
Strachan Gardens
Albert Place
Burnets Close
West Werberside
Kerr Street
Academy Street
Meadowfield Gardens
Stuart Wynd
St Leonards Bank
Carmel Road
Rowantree Grove
Freelands Road
Argyle Place
Seacot
Redford Walk
Currievale Drive
Alnwickhill Grove
Deanpark Court
Corstorphine House Terrace
Browns Place
Torphican Street
Brandon Street
Carricknowe Loan
Great Stuart Street
Woodhall Avenue0
Figgate Street
Grove Street
Annandale Street Lane
Corstorphine Hill Avenue
Coben Road
Bruntsfield Place
Brunstane Crescent
Richmond Place
Ba
Moredun Park Court
Warriston Farm Road
Foulis Crescent 
Woodhall Drive
Clarebank Crescent
Haughhead Farm
Echline Gardens
North Street Ratho
Maxwell Street
Campbell Park Drive
Hillside Crescent
Cleikiminrig
Spa Place
Buccleuch Street
Muirhouse Drive
Bingham Avenue
Hillview Road
Beresford Place
Kirk Cramond
Piershill Lane
Craigleith Hill
Western Terrace
Scotstoun Green Sq Ferry
Moredun Dykes Road
Wardie House Lane
Westerhailes Park
Marchall Place
Church Hill Place
Craigmount Loan
Wolrige Road
Riselaw Crescent
Ferry Road Place
Comiston Drive
Alderbank Terrace
Hillend Place
Swanston Village
Upper Dean Place
Southfield Terrace
Old Assembley Close
