Royston Mains Gardens	EH5 1NL	4	55.9764452	-3.2321792	
Albion Place	EH7 5QS	12	55.9622466	-3.1664719	
Comely Green Cres	EH7 5TB	14	55.9560426	-3.1653133	
Ravelston Dykes	EH12 6HF	6	55.9513036	-3.239206	
Glasgow Road	EH12 8LH	3	55.9410967	-3.3066194	
Candlemaker Crescent 	EH17 8TX	16	55.9083639	-3.1264931	
Elliot Park 	EH14 1DY	9	55.915434	-3.2450112	
Standingstane Road	EH30 9UB	1	55.9743505	-3.3740628	
Scotstoun Park	EH30 9PQ	1	55.9817551	-3.3938545	
Cesser Crescent	EH14 1SP	9	55.9310472	-3.2486591	
Frazer Avenue 	EH5 2AG	4	55.9726376	-3.2168065	
Wester Broom Gardens	EH12 7RA	3	55.9369608	-3.2939246	
Turnhouse Road	EH12 0AU	1	55.944972	-3.3237601	
Craigleith Rise	EH4 3TR	6	55.9514301	-3.2477734	
Braehead Drive	EH4 6BR	1	55.964383	-3.3116283	
Shandon Road	EH11 1QG	9	55.9332883	-3.2323595	
Pilton Avenue	EH5 2HD	4	55.9728284	-3.2303895	
Wester Coates Place	EH12 5YG	6	55.9484473	-3.22926	
Barnton Park Wood	EH4 6EW	1	55.9612485	-3.2989812	
Kirkgate Currie	EH14 6AR	2	55.8915547	-3.3051067	
Hillwood Avenue	EH28 8QB	1	55.9357903	-3.3866745	
Malleny Avenue	EH14 7EJ	2	55.8798196	-3.3378596	
East Silvermills Lane	EH3 5BD	5	55.9591812	-3.204813	
Alemoor Park	EH7 6US	13	55.9652671	-3.1575863	
Fishwiwes Causeway	EH7 6GH	17	55.9546161	-3.1269441	
Cluny Place	EH10 4RH	10	55.9264456	-3.2011055	
Newton Street	EH11 1TQ	7	55.9378762	-3.2307985	
East Market Street	EH1 1DH	11	55.9514953	-3.1851808	
Barn Park	EH14 3HX	2	55.9113741	-3.2789957	
Teviot Dale Place	EH3 5HY	5	55.9616298	-3.2082103	
Cheyne Street	EH4 1JA	5	55.9585955	-3.2128399	
Etterick Road	EH10 5EP	10	55.9337172	-3.2204404	
Roseneath Place	EH9 1JP	10	55.9389509	-3.1933534	
Murrayburn Gate	EH14 2RW	7	55.9161152	-3.2836435	
Arnott Gardens	EH14 2LB	2	55.9191083	-3.2592647	
Kaimes Road	EH12 6JT	6	55.9449509	-3.2738058	
Ardshiel Avenue	EH4 7LH	3	55.9529428	-3.2906099	
Gogar Station	EH12 9BS	1	55.9291069	-3.325867	
Robertson Close	EH1 1LU	11	55.9484987	-3.1859952	
Durham Avenue	EH15 1RY	14	55.9462011	-3.1256204	
Priory Grove	EH30 9LZ	1	55.9852464	-3.3994795	
Parliament Square	EH1 1RF	11	55.9492163	-3.1902983	
Echline Drive	EH30 9UX	1	55.9865049	-3.4155481	
Gillsland Road	EH10 5BL	10	55.9320996	-3.2216976	
Roull Road	EH12 7JW	6	55.9359031	-3.2808765	
Torduff Road	EH13 0PA	8	55.8959358	-3.270954	
Sighthill Drive	EH11 4QJ	7	55.9197606	-3.2831379	
Dalmahoy Crescent	EH14 7BX	2	55.8903051	-3.3413003	
Broughton Road	EH7 4QH	12	55.9653655	-3.1899846	
Walkers Wynd	EH14 2TD	7	55.916778	-3.2764967	
Admiral Terrace	EH10 4JH	10	55.9382206	-3.2083627	
Braid Hills Cres	EH10 6LJ	10	55.9168728	-3.2097538	
Bramble Drive	EH4 8BW	3	55.9579551	-3.3048606	
Hyvot Mill Drive	EH17 8NE	16	55.9053804	-3.1416107	
Jane Terrace	EH6 5NA	13	55.9700627	-3.1752044	
Marchbank Way	EH14 7LW	2	55.8804316	-3.3408033	
The Crescent (Morningside Rd)	EH10 5NX	10	55.9241702	-3.211977	
Meggetland View	EH14 1XT	9	55.9263463	-3.2370096	
Barnton Park Crescent 	EH4 6EP	1	55.9612781	-3.2967243	
Cadiz Street	EH6 7BJ	13	55.9749128	-3.1642983	
Greendykes Loan	EH16 4HG	17	55.928411	-3.1285687	
Newmains Farm La	EH1 3EG	11	55.953252	-3.188267	
Upper Damside	EH4 3AY	5	55.9524482	-3.2187621	
Hillwood Road	EH28 8PU	1	55.9376249	-3.3902866	
Cba	EH1 3EG	11	55.953252	-3.188267	
Glenogle Road	EH3 5HT	5	55.9614081	-3.2062933	
Thornville Terrace	EH6 8DB	13	55.9663811	-3.162518	
Succoth Gardens	EH12 6BS	6	55.9499809	-3.2379987	
Kingsknowe Park	EH14 2JQ	2	55.9164015	-3.2608986	
Telford Gardens 	EH4 2PU	5	55.9641121	-3.2393939	
Beach Lane	EH15 1HU	17	55.9547073	-3.1139908	
Royal Park Terrace	EH8 8JB	14	55.9547061	-3.1602776	
Brighouse Park Cross	EH4 6GZ	1	55.9758138	-3.2952909	
West Mains Road	EH9 3JE	15	55.9245732	-3.1772136	
Muirhouse Parkway	EH4 5JJ	4	55.9739092	-3.259968	
Monkbarns Gardens	EH16 6DG	16	55.9162086	-3.1584711	
Bell Place	EH3 5HU	5	55.9617814	-3.2068537	
Chesser Crescent	EH14 1SP	9	55.9310472	-3.2486591	
Glenallan Drive	EH16 5RA	16	55.9235111	-3.1571756	
Brae Park	EH4 6DJ	1	55.9658973	-3.3112088	
Park Terrace	EH4 1DP	5	55.9603104	-3.2175518	
Parkhead View	EH11 4RU	7	55.9226301	-3.2781033	
Craiglockhart Crescent	EH14 1EZ	9	55.9189932	-3.2450619	
Cameron Park	EH16 5LA	15	55.930226	-3.1614447	
Murrayfield Road	EH12 6ER	6	55.9480684	-3.247708	
Bread Street Lane	EH3 9AF	11	55.9455499	-3.20454	
Rillbank Crescent	EH9 1LJ	15	55.9393939	-3.1896887	
Spittal Street	EH3 9AR	11	55.9462207	-3.2031494	
Dalkeith Road	EH16 5AH	15	55.9352504	-3.1689161	
Drum Brae Gardens	EH12 8SY	3	55.9486438	-3.2936983	
Gladstone Place	EH6 7LX	13	55.9699043	-3.1591206	
Forkenford	EH16 4EZ	15	55.936412	-3.1442467	
Bonnington Avenue	EH6 5QH	12	55.972138	-3.1880854	
Mcleod Street	EH11 2ND	7	55.9395389	-3.2308777	
Durar Drive	EH4 7HW	3	55.952542	-3.2913325	
Kyle Place	EH7 5XH	11	55.956651	-3.1715014	
Fairbrae	EH11 3GZ	7	55.9270074	-3.27284	
Westfield Court	EH11 2RH	7	55.9369865	-3.2425772	
Meadowbank Terrace	EH8 7AJ	14	55.9547911	-3.1562781	
